id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized
751,751.00,4to1_0,5.10,0.00,0.00,876.00,1to5_0,489.60,14.89,125.00,994.90,31.00,1,0.00,62.13,0,tripinfo_751 routing_751,DEFAULT_VEHTYPE,1.06,
462,463.00,4to1_0,5.10,0.00,1.00,880.00,1to4_0,489.60,14.50,417.00,978.78,188.00,7,0.00,350.65,0,tripinfo_462 routing_462,DEFAULT_VEHTYPE,1.01,
434,439.00,4to1_0,5.10,0.00,5.00,881.00,1to2_0,489.60,10.85,442.00,993.46,216.00,8,0.00,353.25,0,tripinfo_434 routing_434,DEFAULT_VEHTYPE,0.76,
468,469.00,4to1_0,5.10,0.00,1.00,882.00,1to4_1,489.60,14.64,413.00,978.78,185.00,7,0.00,349.87,0,tripinfo_468 routing_468,DEFAULT_VEHTYPE,1.06,
557,557.00,5to1_0,5.10,0.00,0.00,884.00,1to3_0,489.60,13.76,327.00,993.46,167.00,5,0.00,256.52,0,tripinfo_557 routing_557,DEFAULT_VEHTYPE,0.96,
729,732.00,5to1_0,5.10,0.00,3.00,884.00,1to4_0,489.60,15.60,152.00,994.90,55.00,3,0.00,90.63,0,tripinfo_729 routing_729,DEFAULT_VEHTYPE,1.09,
631,635.00,4to1_0,5.10,0.00,4.00,888.00,1to4_0,489.60,14.94,253.00,978.78,105.00,4,0.00,189.40,0,tripinfo_631 routing_631,DEFAULT_VEHTYPE,1.05,
568,568.00,5to1_0,5.10,0.00,0.00,889.00,1to5_0,489.60,12.42,321.00,978.78,163.00,6,0.00,243.98,0,tripinfo_568 routing_568,DEFAULT_VEHTYPE,0.86,
319,322.00,3to1_0,5.10,0.00,3.00,890.00,1to3_1,489.60,11.91,568.00,978.78,316.00,17,0.00,509.77,0,tripinfo_319 routing_319,DEFAULT_VEHTYPE,1.13,
776,777.00,3to1_0,5.10,0.00,1.00,891.00,1to5_0,489.60,15.23,114.00,983.13,37.00,1,0.00,49.81,0,tripinfo_776 routing_776,DEFAULT_VEHTYPE,1.03,
589,590.00,5to1_0,5.10,0.00,1.00,892.00,1to3_0,489.60,12.94,302.00,993.46,153.00,7,0.00,229.19,0,tripinfo_589 routing_589,DEFAULT_VEHTYPE,0.93,
688,694.00,5to1_0,5.10,0.00,6.00,896.00,1to3_0,489.60,10.74,202.00,993.46,91.00,4,0.00,116.51,0,tripinfo_688 routing_688,DEFAULT_VEHTYPE,0.79,
788,791.00,2to1_0,5.10,0.00,3.00,896.00,1to4_0,489.60,14.25,105.00,983.13,17.00,1,0.00,37.11,0,tripinfo_788 routing_788,DEFAULT_VEHTYPE,0.98,
795,795.00,3to1_0,5.10,0.00,0.00,896.00,1to2_0,489.60,13.14,101.00,994.90,19.00,1,0.00,31.24,0,tripinfo_795 routing_795,DEFAULT_VEHTYPE,0.95,
815,815.00,2to1_0,5.10,0.00,0.00,896.00,1to3_1,489.60,16.34,81.00,994.90,3.00,1,0.00,22.68,0,tripinfo_815 routing_815,DEFAULT_VEHTYPE,1.14,
801,803.00,3to1_0,5.10,0.00,2.00,898.00,1to5_0,489.60,14.69,95.00,983.13,16.00,1,0.00,31.21,0,tripinfo_801 routing_801,DEFAULT_VEHTYPE,1.04,
552,555.00,2to1_0,5.10,0.00,3.00,900.00,1to5_0,489.60,14.74,345.00,993.46,177.00,7,0.00,279.42,0,tripinfo_552 routing_552,DEFAULT_VEHTYPE,1.02,
799,799.00,2to1_0,5.10,0.00,0.00,901.00,1to3_0,489.60,13.06,102.00,994.90,16.00,1,0.00,30.30,0,tripinfo_799 routing_799,DEFAULT_VEHTYPE,0.93,
820,820.00,2to1_0,5.10,0.00,0.00,904.00,1to3_0,489.60,13.83,84.00,994.90,0.00,0,0.00,13.57,0,tripinfo_820 routing_820,DEFAULT_VEHTYPE,0.95,
785,785.00,2to1_0,5.10,0.00,0.00,905.00,1to4_0,489.60,10.30,120.00,983.13,18.00,1,0.00,30.79,0,tripinfo_785 routing_785,DEFAULT_VEHTYPE,0.75,
821,823.00,2to1_0,5.10,0.00,2.00,908.00,1to4_0,489.60,12.99,85.00,983.13,0.00,0,0.00,12.35,0,tripinfo_821 routing_821,DEFAULT_VEHTYPE,0.92,
833,833.00,2to1_0,5.10,0.00,0.00,909.00,1to4_1,489.60,14.84,76.00,983.13,0.00,0,0.00,8.93,0,tripinfo_833 routing_833,DEFAULT_VEHTYPE,1.00,
553,558.00,2to1_0,5.10,0.00,5.00,911.00,1to5_0,489.60,12.25,353.00,993.46,173.00,7,0.00,272.60,0,tripinfo_553 routing_553,DEFAULT_VEHTYPE,0.84,
574,576.00,2to1_0,5.10,0.00,2.00,911.00,1to5_1,489.60,13.21,335.00,993.46,156.00,7,0.00,260.17,0,tripinfo_574 routing_574,DEFAULT_VEHTYPE,0.90,
581,582.00,2to1_0,5.10,0.00,1.00,911.00,1to2_0,489.60,13.86,329.00,978.78,148.00,7,0.00,260.44,0,tripinfo_581 routing_581,DEFAULT_VEHTYPE,0.98,
800,800.00,3to1_0,5.10,0.00,0.00,911.00,1to3_0,489.60,13.34,111.00,978.78,28.00,2,0.00,43.17,0,tripinfo_800 routing_800,DEFAULT_VEHTYPE,0.97,
843,845.00,2to1_0,5.10,0.00,2.00,913.00,1to3_0,489.60,15.29,68.00,994.90,0.00,0,0.00,6.04,0,tripinfo_843 routing_843,DEFAULT_VEHTYPE,1.08,
322,328.00,3to1_0,5.10,0.00,6.00,915.00,1to4_0,489.60,12.93,587.00,993.46,313.00,16,0.00,509.47,0,tripinfo_322 routing_322,DEFAULT_VEHTYPE,0.87,
591,591.00,2to1_0,5.10,0.00,0.00,915.00,1to5_0,489.60,15.30,324.00,993.46,140.00,6,0.00,260.07,0,tripinfo_591 routing_591,DEFAULT_VEHTYPE,1.06,
