time,id,programID,phase,state
1889.00,n1,0,3,rrrrryyyyyrrrrryyyyy
1890.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1891.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1892.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1893.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1894.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1895.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1896.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1897.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1898.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1899.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1900.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1901.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1902.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1903.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1904.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1905.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1906.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1907.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1908.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1909.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1910.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1911.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1912.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1913.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1914.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1915.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1916.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1917.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1918.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1919.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1920.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1921.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1922.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1923.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1924.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1925.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1926.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1927.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1928.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1929.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1930.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1931.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1932.00,n1,0,1,yyyyyrrrrryyyyyrrrrr
1933.00,n1,0,1,yyyyyrrrrryyyyyrrrrr
1934.00,n1,0,1,yyyyyrrrrryyyyyrrrrr
1935.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
1936.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
1937.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
1938.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
1939.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
1940.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
1941.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
1942.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
1943.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
1944.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
1945.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
1946.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
1947.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
1948.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
1949.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
1950.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
1951.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
1952.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
1953.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
1954.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
1955.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
1956.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
1957.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
1958.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
1959.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
1960.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
1961.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
1962.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
1963.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
1964.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
1965.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
1966.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
1967.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
1968.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
1969.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
1970.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
1971.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
1972.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
1973.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
1974.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
1975.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
1976.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
1977.00,n1,0,3,rrrrryyyyyrrrrryyyyy
1978.00,n1,0,3,rrrrryyyyyrrrrryyyyy
1979.00,n1,0,3,rrrrryyyyyrrrrryyyyy
1980.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1981.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1982.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1983.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1984.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1985.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1986.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1987.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1988.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1989.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1990.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1991.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1992.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1993.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1994.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1995.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1996.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1997.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1998.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1999.00,n1,0,0,GGGggrrrrrGGGggrrrrr
